sitio	posting_id	operacion	moneda	barrio_oficial	calle	altura	precio	precio_usd	precio_por_m2	precio_por_m2_usd	m2_total	ambientes	dormitorios	baños	antiguedad_años	expensas	lat	lon	dist_subte_km	dist_verde_km	dist_tren_km	nivel_socioeconomico	segmento_zona	segmento_zona_modelo	indice_lujo	indice_confort	score_antiguedad	pca_precio_sup	pca_antiguedad	cluster	cluster_nombre
zonaprop	58757240	alquiler	ars	Recoleta	Mansilla	2936.0	750000.0	530.035335689046	12500.0	8.8339222614841	60.0	2.0	1.0	1.0	36.0	300000.0	-34.594827	-58.4083467	0.37125793403862206	0.16008914495120738	1.5328544079227049	5	estandar	estandar	-0.13740393006914195	0.16666666666666666	0.6731003387233323	-0.41131649797937697	0.9940384262888479	0.0	Cluster 0: departamentos antiguos
zonaprop	58818211	alquiler	ars	Belgrano	Cespedes	2300.0	1700000.0	1201.4134275618374	14912.280701754386	10.538714276858222	114.0	3.0	2.0	2.0	35.0	400000.0	-34.5676784	-58.4474753	0.36462230748244945	0.08152385479743879	0.5969980852660607	5	estandar	estandar	0.08525711737541389	0.16666666666666666	0.6731209422273227	0.30422982665068204	0.9942643365080097	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
zonaprop	58564550	alquiler	usd	Recoleta	Riobamba	1200.0	2500.0	2500.0	20.66115702479339	20.66115702479339	121.0	4.0	2.0	2.0	48.5	1150000.0	-34.5947673	-58.3945411	0.556079760991175	0.2311526994473018	1.8278293151113523	5	estandar	estandar	0.5034779116589	0.16666666666666666	0.7217766977656211	0.6864835140491831	1.5277576880409762	0.0	Cluster 0: departamentos antiguos
zonaprop	58314210	alquiler	usd	Palermo	Pereyra Lucena	2500.0	1300.0	1300.0	19.69696969696969	19.69696969696969	66.0	2.0	1.0	1.0	20.0	384500.0						5	estandar	estandar	0.0737820610741159	0.0	0.6155786448852109	-0.6621657154555125	0.36333316044629876		
zonaprop	58810878	alquiler	usd	Puerto Madero	Lola Mora	400.0	3800.0	3800.0	32.47863247863248	32.47863247863248	117.0	3.0	2.0	2.0	14.0	507000.0						5	premium	premium	0.17141763554974335	0.0	0.5970128866458244	-0.08898906464537278	0.15976611113627914		
zonaprop	58582159	alquiler	ars	Belgrano	Jose Hernandez	2700.0	620000.0	438.1625441696113	20666.666666666668	14.605418138987044	30.0	1.0	1.0	1.0	10.0	200000.0	-34.567299	-58.4562615	0.39671694749939335	0.11596501757126487	0.5682689473964855	5	estandar	estandar	0.1061606966064091	0.5	0.5773509189141703	-1.3645422748679248	-0.05582049206910252	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
zonaprop	58704157	alquiler	usd	Retiro	Av Córdoba	400.0	700.0	700.0	17.5	17.5	40.0	2.0	1.0	1.0	35.0	140000.0	-34.5985501	-58.3726927	0.23501034488629624	0.08426217768553504	0.8871674647686432	3	estandar	estandar	-0.15972497815572034	0.0	0.6678274753856986	-0.7021370477895938	0.9362233229563087	0.0	Cluster 0: departamentos antiguos
zonaprop	58644374	alquiler	usd	Palermo	Demaria	4400.0	2500.0	2500.0	16.89189189189189	16.89189189189189	148.0	4.0	3.0	2.0	35.0	512000.0						5	estandar	estandar	-0.16505235803532126	0.16666666666666666	0.6752064953965773	0.7696803528432068	1.01713169798984		
zonaprop	58808991	alquiler	usd	Puerto Madero			1400.0	1400.0	20.895522388059703	20.895522388059703	67.0	2.0	1.0	1.0	7.5	370000.0						5	premium	premium	0.5034779116589	0.16666666666666666	0.570653081865211	-0.9107406248742815	-0.12925993403724487		
zonaprop	58812449	alquiler	ars	San Nicolas	Ayacucho	400.0	700000.0	494.69964664310953	16279.06976744186	11.504642945188595	43.0	1.0	1.0	1.0	40.0	270000.0	-34.604544	-58.3953083	0.27389534847254676	0.6591905581355767	1.230406141774419	3	estandar	estandar	-0.031372158891676674	0.3333333333333333	0.6862294542902897	-0.5581363780670788	1.1379945891104575	0.0	Cluster 0: departamentos antiguos
zonaprop	58706754	alquiler	usd	Recoleta	Pacheco De Melo	2900.0	700.0	700.0	17.5	17.5	40.0	2.0	1.0	1.0	30.0	110000.0	-34.5855305	-58.4035198	0.6146882192230586	0.3465555399790273	1.1596674653288266	5	estandar	estandar	-0.1647935886417602	0.3333333333333333	0.6498473980014698	-0.8071727881394367	0.7390780594944358	0.0	Cluster 0: departamentos antiguos
zonaprop	58770246	alquiler	usd	Palermo	Olleros	1700.0	2700.0	2700.0	29.032258064516128	29.032258064516128	93.0	3.0	2.0	3.0	40.0	460000.0	-34.5644532	-58.4373332	0.9112031035498742	0.05587917342324084	0.21919544662861334	5	estandar	estandar	0.9212085477243618	0.5	0.6889994619733519	0.12897670695165425	1.1683667550805394	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
zonaprop	58639875	alquiler	ars	Recoleta	Av. Pueyrredon	2400.0	1400000.0	989.3992932862191	22222.222222222223	15.704750687082843	63.0	3.0	2.0	1.0	40.0	300000.0	-34.5863434	-58.3950534	0.2333345327784315	0.1847115116237922	1.2496450718545598	5	estandar	estandar	-0.2649189693099972	0.16666666666666666	0.6874394523228731	-0.2841933612176176	1.1512617945748367	0.0	Cluster 0: departamentos antiguos
